Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146436,91602896,G,42.2877,17.6286,37.9225,6.27366,41.8196,0.14946,1.13565,1,G,43.2511,-18.0261,-38.7869,-6.42546,42.771,-0.14967,-2.00585,-1,85.5334
146436,91613976,G,14.4158,-0.0591751,-3.66139,13.9425,3.66186,2.04693,-1.58696,-1,G,8.79958,1.6138,4.59855,7.32602,4.8735,1.19656,1.23329,1,9.12724
146436,91450193,G,8.65195,0.887226,1.8,-8.41533,2.00678,-2.14059,1.11284,1,G,21.3599,0.0531874,-7.41283,-20.032,7.41302,-1.71984,-1.56362,-1,7.6858
146436,91647081,G,39.0589,5.62748,-17.0807,34.6723,17.9838,1.41095,-1.25253,-1,T,2.88251,0.916457,-0.340465,-2.70959,0.977655,-1.74361,-0.3557,-1,19.7775
146436,91674185,G,19.3727,1.89547,-5.43946,-18.4963,5.76025,-1.88314,-1.23549,1,T,5.78918,-0.583464,-1.1653,-5.6396,1.30321,-2.17122,-2.035,-1,2.2888
146436,91488427,G,7.07717,-2.61541,5.32853,3.85248,5.93579,0.610407,2.02708,1,T,2.85384,-1.05281,0.108778,2.64821,1.05841,1.64799,3.03864,1,3.65321
146436,91561155,G,39.5456,1.88565,10.5043,38.0782,10.6722,1.98423,1.39318,1,T,3.76783,0.721118,0.463626,3.66748,0.857299,2.16001,0.571386,-1,2.50258
146436,91594171,G,47.6467,-8.98893,-10.4854,-45.601,13.811,-1.90979,-2.2795,1,T,20.1701,-3.48328,-3.05405,-19.6306,4.63254,-2.15077,-2.42176,-1,2.25377
146436,91510861,G,30.4855,6.82935,3.46812,-29.5074,7.65949,-2.05828,0.469888,-1,T,10.5767,0.813181,1.78217,-10.3932,1.95893,-2.37067,1.14273,1,2.84162
146436,91504454,G,22.9622,-5.18388,-5.17365,21.7626,7.32388,1.80938,-2.35718,-1,T,5.11117,1.46943,0.441484,4.87429,1.53432,1.87293,0.291866,1,6.51134
146436,91580118,G,21.5008,-1.00077,-7.0198,20.2977,7.09078,1.77406,-1.71241,1,T,6.50264,0.473494,-1.10067,6.39042,1.19819,2.37581,-1.16454,1,2.39166
146436,91567151,G,8.38033,1.7344,0.212289,8.19545,1.74735,2.24981,0.121793,1,T,5.17258,-1.61169,-0.313074,4.90396,1.64181,1.8143,-2.94973,-1,3.47293
146436,91581303,G,8.98519,8.48407,2.11939,2.06183,8.74478,0.233647,0.244798,1,T,3.80101,0.547859,-1.1502,3.57958,1.27402,1.75648,-1.12628,1,7.01044
146436,91865048,G,28.4198,1.27024,-6.14624,-27.7179,6.27612,-2.19105,-1.367,-1,T,3.67283,-0.141331,0.742503,-3.59267,0.755834,-2.26286,1.75889,-1,4.37131
146436,91898152,G,32.6131,10.7933,18.1874,24.8259,21.1489,0.999133,1.03521,1,T,2.81563,-0.250948,0.987102,2.62284,1.0185,1.6748,1.81975,-1,4.79145
146436,91892152,G,13.5553,2.62964,3.51236,-12.8251,4.38767,-1.79381,0.928139,-1,T,7.22243,-0.290973,2.83552,-6.63533,2.85041,-1.58133,1.67306,1,2.6909
